"name";"url"
"android.telephony.gsm";"http://developer.android.com/reference/android/telephony/gsm/package-summary.html"
"android.test";"http://developer.android.com/reference/android/test/package-summary.html"
"android.test.mock";"http://developer.android.com/reference/android/test/mock/package-summary.html"
"android.test.suitebuilder";"http://developer.android.com/reference/android/test/suitebuilder/package-summary.html"
"android.test.suitebuilder.annotation";"http://developer.android.com/reference/android/test/suitebuilder/annotation/package-summary.html"
"android.text";"http://developer.android.com/reference/android/text/package-summary.html"
"android.text.format";"http://developer.android.com/reference/android/text/format/package-summary.html"
"android.text.method";"http://developer.android.com/reference/android/text/method/package-summary.html"
"android.text.style";"http://developer.android.com/reference/android/text/style/package-summary.html"
"android.text.util";"http://developer.android.com/reference/android/text/util/package-summary.html"
"android.transition";"http://developer.android.com/reference/android/transition/package-summary.html"
"android.util";"http://developer.android.com/reference/android/util/package-summary.html"
"android.view";"http://developer.android.com/reference/android/view/package-summary.html"
"android.view.accessibility";"http://developer.android.com/reference/android/view/accessibility/package-summary.html"
"android.view.animation";"http://developer.android.com/reference/android/view/animation/package-summary.html"
"android.view.inputmethod";"http://developer.android.com/reference/android/view/inputmethod/package-summary.html"
"android.view.textservice";"http://developer.android.com/reference/android/view/textservice/package-summary.html"
"android.webkit";"http://developer.android.com/reference/android/webkit/package-summary.html"
"android.widget";"http://developer.android.com/reference/android/widget/package-summary.html"
"com.android.internal.backup";"http://developer.android.com/reference/com/android/internal/backup/package-summary.html"
"com.android.internal.logging";"http://developer.android.com/reference/com/android/internal/logging/package-summary.html"
"com.android.internal.os";"http://developer.android.com/reference/com/android/internal/os/package-summary.html"
"com.android.internal.statusbar";"http://developer.android.com/reference/com/android/internal/statusbar/package-summary.html"
"com.android.internal.widget";"http://developer.android.com/reference/com/android/internal/widget/package-summary.html"
"com.android.test.runner";"http://developer.android.com/reference/com/android/test/runner/package-summary.html"
"dalvik.annotation";"http://developer.android.com/reference/dalvik/annotation/package-summary.html"
"dalvik.bytecode";"http://developer.android.com/reference/dalvik/bytecode/package-summary.html"
"dalvik.system";"http://developer.android.com/reference/dalvik/system/package-summary.html"
"java.awt.font";"http://developer.android.com/reference/java/awt/font/package-summary.html"
"java.beans";"http://developer.android.com/reference/java/beans/package-summary.html"
"java.io";"http://developer.android.com/reference/java/io/package-summary.html"
"java.lang";"http://developer.android.com/reference/java/lang/package-summary.html"
"java.lang.annotation";"http://developer.android.com/reference/java/lang/annotation/package-summary.html"
